"Area,Perimeter,Bounding Box X,Bounding Box Y,Bounding Box Width,Bounding Box Height,Min Intensity,Max Intensity "
"32298.5,1194.295585155487,489,398,222,225,0.0,32298.5"
"31536.5,1200.6976053714752,546,310,230,217,0.0,31536.5"
